iter	MultiClass
0	1.114875314
1	0.8910733343
2	0.7473109739
3	0.6439800422
4	0.5693362227
5	0.5111559007
6	0.4644424377
7	0.4259895001
8	0.3958454515
9	0.3688624116
10	0.3495856591
11	0.3324223501
12	0.3162963252
13	0.3029153619
14	0.2922746815
15	0.2834122755
16	0.2738516464
17	0.266579538
18	0.2598077194
19	0.2542484145
20	0.2487278729
21	0.2438096279
22	0.2397724836
23	0.2351860534
24	0.2315657267
25	0.2272166729
26	0.2243662997
27	0.2213003302
28	0.218302789
29	0.2157270227
30	0.212957948
31	0.2109865275
32	0.2076514849
33	0.2050643057
34	0.2023740376
35	0.1994987468
36	0.1973748588
37	0.1946280963
38	0.191957557
39	0.1908858708
40	0.188197933
41	0.185979113
42	0.1842412889
43	0.1821183108
44	0.1799946103
45	0.1787652904
46	0.176784971
47	0.1751730899
48	0.1733560463
49	0.1717204725
50	0.1697034305
51	0.167098254
52	0.1656351105
53	0.1632829891
54	0.1618276503
55	0.1603951698
56	0.1587988948
57	0.157613752
58	0.1570375845
59	0.1557734996
60	0.1535962412
61	0.1524745213
62	0.1512375008
63	0.1504656346
64	0.1491462303
65	0.1479273635
66	0.1464851337
67	0.1448732956
68	0.1435402878
69	0.1423696425
70	0.141096075
71	0.1403569527
72	0.1397478011
73	0.1381810308
74	0.1373725907
75	0.136490772
76	0.1355895055
77	0.1338935662
78	0.1325741828
79	0.1316265537
80	0.1304594727
81	0.1297997969
82	0.1289930314
83	0.1280892923
84	0.1270765343
85	0.1266183909
86	0.1252655457
87	0.1244629521
88	0.1232017
89	0.1221577338
90	0.1213541194
91	0.1209358715
92	0.1199994413
93	0.1192493092
94	0.1182489951
95	0.1170318192
96	0.1160776761
97	0.1155841705
98	0.1145243204
99	0.1137117021
