iter	Passed	Remaining
0	155	15414
1	321	15755
2	503	16283
3	680	16325
4	848	16116
5	1022	16012
6	1177	15638
7	1351	15539
8	1535	15527
9	1694	15248
10	1870	15134
11	2032	14905
12	2215	14823
13	2388	14672
14	2562	14522
15	2731	14340
16	2894	14131
17	3076	14016
18	3257	13885
19	3419	13677
20	3606	13566
21	3778	13396
22	3967	13283
23	4159	13173
24	4313	12940
25	4466	12711
26	4655	12588
27	4838	12440
28	5013	12275
29	5199	12132
30	5386	11989
31	5563	11822
32	5748	11670
33	5929	11509
34	6105	11338
35	6254	11118
36	6411	10916
37	6606	10778
38	6775	10598
39	6948	10422
40	7109	10230
41	7274	10046
42	7468	9900
43	7658	9746
44	7847	9590
45	8010	9403
46	8168	9211
47	8348	9043
48	8522	8870
49	8681	8681
50	8869	8522
51	9036	8341
52	9211	8169
53	9371	7983
54	9536	7802
55	9731	7646
56	9914	7479
57	10083	7301
58	10254	7125
59	10428	6952
60	10605	6780
61	10764	6597
62	10924	6416
63	11089	6238
64	11280	6074
65	11438	5892
66	11613	5720
67	11801	5553
68	11985	5384
69	12145	5205
70	12330	5036
71	12503	4862
72	12700	4697
73	12881	4525
74	13082	4360
75	13256	4186
76	13424	4010
77	13600	3836
78	13754	3656
79	13935	3483
80	14110	3309
81	14307	3140
82	14476	2965
83	14669	2794
84	14826	2616
85	14990	2440
86	15154	2264
87	15353	2093
88	15509	1916
89	15695	1743
90	15862	1568
91	16032	1394
92	16205	1219
93	16365	1044
94	16532	870
95	16719	696
96	16895	522
97	17082	348
98	17274	174
99	17441	0
