time,shortwave_radiation (W/m²),direct_radiation (W/m²),diffuse_radiation (W/m²),direct_normal_irradiance (W/m²),terrestrial_radiation (W/m²),shortwave_radiation_instant (W/m²),direct_radiation_instant (W/m²),diffuse_radiation_instant (W/m²),direct_normal_irradiance_instant (W/m²),terrestrial_radiation_instant (W/m²)
2021-09-29T00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-29T01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-29T02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-29T03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-29T04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-29T05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-29T06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-29T07:00,9.0,3.0,6.0,37.5,49.9,21.5,7.2,14.4,82.0,119.3
2021-09-29T08:00,130.0,83.0,47.0,455.9,248.3,195.9,125.1,70.8,455.9,374.1
2021-09-29T09:00,310.0,241.0,69.0,670.1,490.4,379.8,295.2,84.5,670.1,600.8
2021-09-29T10:00,476.0,388.0,88.0,759.7,696.4,535.7,436.7,99.0,759.7,783.7
2021-09-29T11:00,607.0,512.0,95.0,819.3,852.1,648.6,547.1,101.5,819.3,910.5
2021-09-29T12:00,694.0,603.0,91.0,868.3,947.0,712.6,619.2,93.4,868.3,972.4
2021-09-29T13:00,669.0,537.0,132.0,751.4,974.5,662.6,531.9,130.7,751.4,965.2
2021-09-29T14:00,679.0,584.0,95.0,853.8,932.8,647.5,556.9,90.6,853.8,889.4
2021-09-29T15:00,584.0,496.0,88.0,820.3,824.6,531.3,451.2,80.1,820.3,750.2
2021-09-29T16:00,444.0,363.0,81.0,753.0,657.4,376.1,307.5,68.6,753.0,556.9
2021-09-29T17:00,267.0,194.0,73.0,597.9,442.5,194.8,141.5,53.3,597.9,322.8
2021-09-29T18:00,85.0,33.0,52.0,212.4,194.5,27.9,10.8,17.1,124.2,63.8
2021-09-29T19:00,2.0,0.0,2.0,0.0,21.9,0.0,0.0,0.0,0.0,0.0
2021-09-29T20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-29T21:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-29T22:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-29T23:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-30T00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-30T01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-30T02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-30T03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-30T04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-30T05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-30T06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-30T07:00,9.0,3.0,6.0,38.3,47.5,21.7,7.2,14.5,83.0,114.6
2021-09-30T08:00,128.0,84.0,44.0,470.5,243.6,194.1,127.4,66.7,470.5,369.4
2021-09-30T09:00,304.0,231.0,73.0,649.0,485.6,373.1,283.5,89.6,649.0,595.9
2021-09-30T10:00,474.0,389.0,85.0,767.6,691.4,533.8,438.1,95.7,767.6,778.6
2021-09-30T11:00,605.0,509.0,96.0,820.1,846.9,646.6,544.0,102.6,820.1,905.1
2021-09-30T12:00,683.0,577.0,106.0,836.3,941.4,701.3,592.5,108.8,836.3,966.6
2021-09-30T13:00,713.0,619.0,94.0,872.0,968.5,706.0,612.9,93.1,872.0,959.1
